dn,P,u,v,w
7.3592e+05,15.537,0.17723,0.02435,-0.010731
7.3592e+05,15.525,0.18071,0.021455,-0.012607
7.3592e+05,15.519,0.1622,0.023432,-0.0063383
7.3592e+05,15.525,0.15407,0.024351,-0.0036572
7.3592e+05,15.519,0.14898,0.025503,0.0021507
7.3592e+05,15.519,0.14701,0.039911,0.0062021
7.3592e+05,15.501,0.14685,0.035479,0.0031488
7.3592e+05,15.507,0.15646,0.036287,-0.00046632
7.3592e+05,15.489,0.14391,0.042895,-0.0018925
7.3592e+05,15.476,0.15081,0.031698,-0.00073119
7.3592e+05,15.482,0.13689,0.041012,0.0028159
7.3592e+05,15.476,0.12781,0.046923,0.0035417
7.3592e+05,15.476,0.12467,0.05428,0.0035345
7.3592e+05,15.482,0.097876,0.053732,-0.00045806
7.3592e+05,15.489,0.1027,0.060137,0.0008424
7.3592e+05,15.464,0.10593,0.057144,0.0059015
7.3592e+05,15.464,0.094406,0.053297,0.0084174
7.3592e+05,15.464,0.10373,0.061592,0.012918
7.3592e+05,15.476,0.10374,0.054018,0.011768
7.3592e+05,15.464,0.099134,0.05963,0.012717
7.3592e+05,15.458,0.092036,0.053349,0.012338
7.3592e+05,15.44,0.087984,0.045123,0.011032
7.3592e+05,15.44,0.081456,0.034755,0.012613
7.3592e+05,15.434,0.074873,0.037351,0.013415
7.3592e+05,15.434,0.076154,0.034658,0.010412
7.3592e+05,15.422,0.065337,0.032211,0.0079701
7.3592e+05,15.416,0.050851,0.04337,0.0067245
7.3592e+05,15.422,0.046727,0.048147,0.0047334
7.3592e+05,15.428,0.051201,0.055486,0.0050757
7.3592e+05,15.416,0.02618,0.05568,0.003506
7.3592e+05,15.403,0.029869,0.064858,0.0039081
7.3592e+05,15.397,0.018209,0.056687,0.0014234
7.3592e+05,15.41,0.016498,0.042951,-0.00012831
7.3592e+05,15.403,0.013103,0.053495,-0.00076002
7.3592e+05,15.403,0.01572,0.052401,0.0002258
7.3592e+05,15.391,0.005357,0.05893,-0.001594
7.3592e+05,15.391,0.013094,0.053456,0.00023916
7.3592e+05,15.379,0.0038937,0.049577,-0.00097771
7.3592e+05,15.391,0.0038937,0.049577,-0.00097771
7.3592e+05,15.373,0.00020841,0.047968,-4.8585e-05
7.3592e+05,15.361,-0.00084726,0.045346,-0.00015505
7.3592e+05,15.367,-0.014655,0.047109,-0.00099376
7.3592e+05,15.367,-0.013466,0.044313,-0.00011596
7.3592e+05,15.361,-0.01343,0.051845,0.0021806
7.3592e+05,15.361,-0.026027,0.050815,0.0023246
7.3592e+05,15.349,-0.031911,0.049347,0.0033935
7.3592e+05,15.361,-0.027453,0.049077,0.0032904
7.3592e+05,15.343,-0.03915,0.048475,0.002537
7.3592e+05,15.349,-0.038,0.045749,0.0014206
7.3592e+05,15.355,-0.032484,0.032852,0.0018811
7.3592e+05,15.349,-0.048313,0.039251,-0.00046804
7.3592e+05,15.337,-0.041846,0.036701,-0.0037387
7.3592e+05,15.331,-0.048686,0.034856,-0.003567
7.3592e+05,15.331,-0.047042,0.04878,-0.0072491
7.3592e+05,15.331,-0.053173,0.045139,-0.0091701
7.3592e+05,15.343,-0.054058,0.05238,-0.0089452
7.3592e+05,15.337,-0.05775,0.050795,-0.0088785
7.3592e+05,15.324,-0.054313,0.047876,-0.0080612
7.3592e+05,15.324,-0.050906,0.044985,-0.0082431
7.3592e+05,15.337,-0.051376,0.035954,-0.0054534
7.3592e+05,15.324,-0.055033,0.049664,-0.0059892
7.3592e+05,15.349,-0.057908,0.046215,-0.0049901
7.3592e+05,15.324,-0.051877,0.042272,-0.005282
7.3592e+05,15.331,-0.051159,0.040481,-0.0073521
7.3592e+05,15.331,-0.05194,0.042323,-0.0072803
7.3592e+05,15.318,-0.056868,0.035884,-0.0082713
7.3592e+05,15.324,-0.054597,0.043398,-0.0081694
7.3592e+05,15.337,-0.053173,0.045139,-0.0091701
7.3592e+05,15.343,-0.054815,0.038871,-0.0062714
7.3592e+05,15.324,-0.057908,0.046215,-0.0049901
7.3592e+05,15.343,-0.061274,0.041431,-0.0029934
7.3592e+05,15.349,-0.052059,0.037725,-0.0023865
7.3592e+05,15.349,-0.051032,0.04038,-0.0033554
7.3592e+05,15.349,-0.051064,0.040405,-0.0043546
7.3592e+05,15.318,-0.058711,0.053366,-0.0017738
7.3592e+05,15.337,-0.03693,0.043115,-0.0026928
7.3592e+05,15.361,-0.051747,0.047445,0.0028585
7.3592e+05,15.343,-0.043423,0.050913,0.0047262
7.3592e+05,15.355,-0.039074,0.04838,0.0055345
7.3592e+05,15.361,-0.035593,0.045391,0.0083535
7.3592e+05,15.373,-0.031259,0.058052,0.0096903
7.3592e+05,15.373,-0.016467,0.051239,0.011199
7.3592e+05,15.367,-0.019048,0.052221,0.013272
7.3592e+05,15.403,-0.027712,0.054866,0.017515
7.3592e+05,15.385,-0.020042,0.049491,0.016186
7.3592e+05,15.391,-0.017818,0.04931,0.017147
